timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.21,0.81,0.42,-11.60,5.37,10.99
10,0.19,0.82,0.41,-11.05,5.98,9.40
20,0.19,0.84,0.40,-10.44,7.75,6.77
30,0.20,0.85,0.41,-9.70,10.13,3.30
40,0.21,0.86,0.42,-7.87,12.88,-2.99
50,0.25,0.87,0.47,-6.71,12.76,-4.88
60,0.26,0.88,0.50,-5.00,10.93,-5.86
70,0.28,0.88,0.50,-3.11,8.06,-5.98
80,0.29,0.89,0.51,-0.92,4.88,-5.49
90,0.29,0.90,0.47,3.60,-2.62,-4.58
100,0.29,0.87,0.48,5.31,-5.07,-3.66
110,0.28,0.85,0.47,6.23,-6.53,-2.93
120,0.28,0.83,0.48,6.71,-6.71,-2.32
130,0.29,0.80,0.49,6.77,-5.43,-1.95
140,0.31,0.77,0.51,5.74,-3.36,-1.04
150,0.30,0.77,0.51,4.82,-3.66,-0.43
160,0.30,0.77,0.51,3.78,-4.03,0.31
170,0.31,0.76,0.50,2.93,-4.03,1.53
180,0.32,0.75,0.50,2.14,-4.58,2.75
190,0.32,0.73,0.49,0.37,-6.41,5.37
200,0.31,0.74,0.48,-0.85,-7.57,6.59
210,0.31,0.75,0.47,-1.95,-8.48,7.57
220,0.31,0.76,0.46,-3.05,-9.28,8.24
230,0.32,0.77,0.46,-3.66,-9.95,8.61
240,0.33,0.77,0.47,-4.82,-11.05,9.40
250,0.33,0.76,0.48,-4.70,-12.70,8.36
260,0.32,0.76,0.48,-5.00,-14.47,7.57
270,0.33,0.78,0.49,-5.92,-15.69,6.84
280,0.30,0.80,0.50,-5.98,-17.27,1.83
300,0.25,0.84,0.48,-6.90,-11.35,-2.62
310,0.25,0.85,0.48,-6.71,-7.14,-4.88
320,0.25,0.84,0.49,-6.29,-3.42,-6.71
330,0.27,0.83,0.51,-5.92,2.81,-8.73
340,0.28,0.82,0.55,-5.86,3.54,-8.91
350,0.28,0.84,0.56,-5.92,2.62,-8.91
360,0.28,0.85,0.56,-5.68,1.40,-8.67
370,0.29,0.85,0.55,-5.13,0.18,-8.12
380,0.28,0.86,0.55,-3.36,-2.62,-6.04
390,0.29,0.84,0.55,-2.20,-3.36,-5.13
400,0.30,0.82,0.56,-0.85,-3.91,-4.15
410,0.30,0.80,0.56,0.37,-4.82,-2.81
420,0.30,0.77,0.57,1.34,-5.86,-1.65
430,0.31,0.75,0.58,2.62,-8.06,-0.12
440,0.30,0.71,0.58,2.87,-9.28,0.00
450,0.28,0.71,0.57,2.87,-10.19,0.18
460,0.27,0.70,0.55,2.75,-9.89,0.12
470,0.26,0.69,0.54,2.56,-8.24,0.00
480,0.25,0.69,0.53,1.53,-4.46,-1.40
490,0.26,0.69,0.53,0.98,-2.44,-1.95
500,0.27,0.70,0.54,0.61,-0.73,-2.44
510,0.27,0.70,0.54,0.31,0.73,-2.69
520,0.28,0.71,0.54,0.24,1.40,-3.05
530,0.28,0.73,0.53,0.24,1.28,-3.72
540,0.27,0.74,0.52,0.55,0.49,-3.66
550,0.27,0.75,0.51,1.28,-0.06,-3.17
560,0.26,0.76,0.50,1.95,-0.31,-2.50
570,0.24,0.77,0.49,2.69,-0.37,-2.14
580,0.21,0.80,0.48,4.15,1.22,-1.46
590,0.22,0.82,0.49,5.00,2.32,-2.08
600,0.22,0.84,0.49,5.80,3.42,-3.23
610,0.22,0.87,0.49,7.20,3.97,-4.09
620,0.22,0.88,0.50,9.09,3.85,-4.64
630,0.24,0.92,0.51,13.31,1.40,-4.88
640,0.24,0.94,0.51,15.69,-1.22,-4.27
650,0.24,0.97,0.52,18.43,-4.58,-3.11
660,0.24,0.99,0.54,21.30,-8.97,-1.65
670,0.22,1.02,0.54,24.60,-14.95,3.17
690,0.09,1.13,0.53,34.55,-29.24,7.14
700,0.03,1.17,0.52,38.21,-29.85,9.03
710,-0.03,1.19,0.49,42.54,-27.95,10.93
720,-0.06,1.21,0.47,47.00,-22.46,12.21
730,-0.13,1.22,0.45,54.81,-21.36,11.41
740,-0.18,1.24,0.43,57.56,-22.09,9.34
750,-0.21,1.27,0.40,60.18,-25.15,6.04
760,-0.22,1.29,0.34,63.42,-31.74,1.83
770,-0.27,1.34,0.25,66.10,-48.83,-7.69
780,-0.44,1.54,0.03,64.76,-53.96,-15.14
790,-0.49,1.67,-0.08,61.95,-56.34,-24.11
800,-0.48,1.78,-0.17,61.28,-56.27,-35.64
810,-0.49,1.85,-0.23,67.14,-55.85,-51.09
820,-0.49,1.84,-0.26,99.18,-59.45,-74.65
830,-0.38,1.64,-0.16,121.03,-65.06,-78.31
840,-0.30,1.45,-0.11,142.33,-76.11,-79.71
850,-0.28,1.24,-0.07,161.50,-92.71,-82.58
860,-0.32,1.05,0.01,177.73,-112.49,-89.48
870,-0.39,0.84,0.16,217.16,-142.27,-111.02
880,-0.42,0.31,0.18,243.90,-153.99,-121.28
890,-0.46,-0.01,0.17,270.32,-168.88,-128.54
900,-0.52,-0.36,0.19,294.13,-184.08,-131.35
910,-0.53,-0.76,0.33,317.99,-190.73,-128.17
920,-0.38,-2.10,1.10,372.13,-135.50,-99.49
930,0.34,-2.79,1.54,390.01,-61.52,-91.74
940,0.57,-3.47,1.90,387.82,25.39,-100.83
950,1.40,-4.00,1.66,363.40,92.83,-117.37
960,2.22,-4.00,1.52,295.04,110.05,-161.44
970,2.13,-2.44,1.22,65.49,51.64,-122.44
980,1.65,-2.07,0.94,10.38,10.62,-41.14
990,0.90,-2.10,0.89,-25.94,-9.03,31.62
1000,0.46,-1.94,0.84,-68.05,-0.31,91.49
1010,0.25,-1.65,0.85,-107.60,27.40,124.94
1020,0.23,-1.19,0.99,-150.21,76.48,146.97
1030,0.29,-1.01,0.99,-162.48,76.48,152.47
1040,0.23,-0.84,0.91,-172.36,63.60,148.56
1050,0.08,-0.67,0.81,-180.85,51.21,131.96
1060,0.01,-0.42,0.71,-186.28,50.48,95.95
1080,0.24,0.14,0.70,-177.06,83.56,79.10
1090,0.36,0.21,0.72,-168.76,87.65,75.87
1100,0.39,0.30,0.74,-163.57,82.82,74.65
1110,0.41,0.44,0.71,-163.76,57.68,77.09
1120,0.36,0.79,0.69,-167.79,42.18,81.79
1130,0.27,0.99,0.73,-162.84,28.50,83.50
1140,0.14,1.09,0.78,-148.93,16.11,83.44
1150,-0.01,1.05,0.84,-129.27,7.26,88.13
