timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.56,0.80,-0.11,-0.31,3.85,-3.48
10,0.57,0.80,-0.10,0.06,2.38,-3.11
20,0.58,0.80,-0.09,0.37,0.12,-2.62
30,0.58,0.80,-0.07,0.92,-2.56,-1.65
40,0.57,0.80,-0.07,1.28,-5.13,15.14
50,0.56,0.80,-0.09,1.53,-9.64,1.71
60,0.56,0.79,-0.09,1.77,-11.66,2.87
70,0.53,0.79,-0.10,1.83,-12.70,4.09
80,0.52,0.78,-0.10,1.40,-12.88,4.88
90,0.51,0.78,-0.11,0.67,-12.15,5.98
110,0.51,0.77,-0.09,-1.04,-7.75,7.63
120,0.51,0.77,-0.09,-2.38,-6.84,7.81
130,0.51,0.77,-0.09,-3.30,-6.16,7.81
140,0.50,0.78,-0.10,-4.39,-5.55,7.32
150,0.47,0.78,-0.12,-6.53,-5.13,6.53
160,0.46,0.78,-0.13,-7.39,-4.46,5.49
170,0.45,0.78,-0.14,-7.93,-2.99,4.03
180,0.44,0.78,-0.14,-8.54,-0.43,2.08
190,0.44,0.79,-0.14,-9.16,5.62,-2.26
200,0.46,0.80,-0.13,-8.79,8.42,-4.09
210,0.47,0.80,-0.13,-8.12,10.62,-5.07
220,0.49,0.79,-0.12,-7.32,12.21,-5.37
230,0.50,0.79,-0.11,-6.47,13.18,-5.86
240,0.52,0.79,-0.10,-4.21,11.60,-6.77
250,0.56,0.80,-0.09,-2.69,9.52,-7.20
260,0.57,0.80,-0.08,-1.65,6.84,-7.51
270,0.57,0.80,-0.08,-0.79,4.27,-7.75
280,0.57,0.81,-0.09,-0.43,2.32,-7.87
290,0.58,0.82,-0.10,-0.24,-0.18,-8.12
300,0.59,0.82,-0.11,-0.24,-1.04,-7.57
310,0.59,0.81,-0.11,-0.67,-1.22,-6.71
320,0.58,0.80,-0.11,-1.40,-1.16,-6.04
330,0.58,0.80,-0.10,-2.01,-0.43,-5.31
340,0.54,0.78,-0.10,-3.11,2.56,-3.85
350,0.55,0.77,-0.09,-3.66,4.33,-3.30
360,0.54,0.75,-0.09,-3.85,5.86,-2.93
370,0.54,0.72,-0.08,-3.60,7.32,-2.81
380,0.53,0.70,-0.07,-3.42,7.87,-3.05
390,0.49,0.66,-0.04,-3.54,7.51,-5.13
400,0.45,0.63,-0.02,-3.17,6.53,-6.84
410,0.42,0.60,-0.01,-2.69,5.92,-9.58
420,0.39,0.56,0.01,-2.56,6.47,-13.37
430,0.36,0.52,0.04,-2.56,7.26,-17.64
440,0.34,0.44,0.11,-4.15,8.36,-26.25
450,0.33,0.41,0.14,-6.23,7.51,-30.76
460,0.30,0.38,0.16,-8.97,5.25,-34.91
470,0.28,0.36,0.17,-12.08,2.69,-39.37
480,0.24,0.35,0.18,-15.99,0.61,-50.48
500,0.08,0.34,0.10,-27.47,6.10,-67.26
510,0.03,0.35,0.04,-30.46,11.78,-75.56
520,-0.06,0.37,-0.03,-33.26,20.51,-83.01
530,-0.16,0.40,-0.10,-36.87,53.10,-100.28
540,-0.11,0.48,-0.21,-43.88,72.02,-110.72
550,-0.03,0.53,-0.23,-44.31,90.09,-116.33
560,0.06,0.51,-0.24,-42.24,101.56,-117.13
570,0.14,0.51,-0.25,-39.37,103.45,-118.10
580,0.17,0.53,-0.30,-38.27,98.51,-113.59
590,0.14,0.62,-0.41,-38.39,95.70,-111.02
600,0.10,0.71,-0.48,-38.88,96.68,-109.07
610,0.12,0.83,-0.57,-38.94,102.84,-110.11
620,0.18,0.93,-0.67,-37.54,111.82,-112.79
630,0.21,1.02,-0.76,-31.98,135.62,-117.43
640,0.32,1.20,-0.93,-28.38,152.65,-118.59
650,0.51,1.26,-0.95,-21.30,170.35,-116.58
660,0.76,1.32,-0.92,-13.37,182.74,-111.21
670,0.96,1.41,-0.91,-6.90,183.96,-102.36
680,1.06,1.52,-1.04,3.85,154.85,-69.64
690,0.88,1.90,-1.23,6.35,141.42,-59.81
700,0.89,2.16,-1.49,9.34,140.56,-58.84
710,1.05,2.17,-1.80,20.26,148.25,-64.27
720,1.32,2.10,-2.13,32.59,155.70,-68.42
730,1.83,2.56,-2.59,68.54,154.05,-37.72
740,1.98,2.10,-2.52,128.30,151.43,-9.95
750,2.01,1.78,-2.44,172.67,146.30,21.48
760,2.13,1.62,-2.40,198.12,138.06,48.58
770,2.23,1.43,-2.41,222.60,122.68,67.99
780,2.28,0.95,-2.48,265.99,80.32,104.92
790,2.21,0.76,-2.53,279.72,59.39,122.31
800,2.06,0.58,-2.50,292.18,41.75,138.98
810,1.87,0.36,-2.40,305.79,31.43,153.93
820,1.69,0.15,-2.23,315.80,29.54,182.62
830,1.47,-0.14,-1.78,323.85,43.40,182.07
840,1.39,-0.24,-1.59,321.11,50.54,181.21
850,1.30,-0.31,-1.39,313.17,52.19,178.34
860,1.18,-0.39,-1.16,302.80,52.31,175.84
870,1.04,-0.49,-0.93,293.33,54.44,167.79
890,0.72,-0.63,-0.26,249.33,60.79,156.86
900,0.67,-0.70,-0.12,231.93,58.72,152.47
910,0.64,-0.72,-0.02,209.05,55.85,149.05
920,0.54,-0.75,0.02,168.40,44.98,132.69
930,0.34,-0.82,0.05,138.92,40.77,119.93
940,0.27,-0.82,0.14,115.30,39.73,103.39
950,0.20,-0.82,0.22,92.83,39.25,79.04
960,0.17,-0.76,0.31,68.79,35.89,52.67
970,0.16,-0.66,0.40,25.02,17.03,8.42
980,0.18,-0.50,0.55,9.09,2.87,-9.89
990,0.19,-0.44,0.62,-4.33,-13.49,-26.55
1000,0.13,-0.40,0.65,-16.91,-32.29,-39.92
1010,-0.02,-0.31,0.66,-30.33,-46.94,-44.92
1020,-0.17,-0.17,0.63,-45.23,-47.97,-38.33
1030,-0.24,-0.02,0.51,-45.90,-40.41,-36.38
1040,-0.19,-0.02,0.43,-48.71,-35.10,-40.41
1050,-0.14,-0.00,0.32,-58.65,-33.75,-50.60
1060,-0.03,0.06,0.23,-76.11,-33.33,-64.33
1070,0.10,0.18,0.01,-117.49,-39.18,-98.75
1080,0.34,0.51,-0.11,-134.52,-47.61,-112.12
1090,0.42,0.64,-0.20,-145.63,-58.59,-121.95
1100,0.48,0.73,-0.30,-152.10,-68.12,-129.52
1110,0.55,0.82,-0.42,-156.13,-73.79,-135.25
1120,0.76,0.85,-0.69,-154.24,-79.22,-143.13
1130,0.90,0.91,-0.79,-152.77,-78.37,-139.59
1140,0.96,0.96,-0.82,-149.90,-76.48,-134.09
1150,1.02,1.06,-0.82,-145.69,-73.73,-127.20
