timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.32,0.68,0.55,3.30,0.37,4.09
10,0.32,0.68,0.55,2.87,1.53,3.85
20,0.32,0.68,0.55,2.69,2.81,2.93
40,0.32,0.66,0.55,3.60,5.98,1.95
50,0.32,0.66,0.55,3.54,6.96,1.65
60,0.32,0.66,0.54,3.30,7.87,0.98
70,0.32,0.67,0.53,3.36,9.64,-0.24
80,0.34,0.65,0.54,3.78,10.07,-0.43
90,0.35,0.63,0.56,3.72,9.89,-0.49
100,0.35,0.62,0.57,3.23,9.09,-0.73
110,0.35,0.61,0.58,2.75,8.18,-0.92
120,0.34,0.61,0.58,0.73,6.35,-1.83
130,0.32,0.65,0.57,-0.49,6.35,-3.05
140,0.31,0.66,0.56,-1.59,7.02,-4.33
150,0.32,0.67,0.56,-2.75,8.12,-5.55
160,0.33,0.68,0.56,-4.03,9.09,-7.08
170,0.35,0.68,0.57,-4.76,9.09,-9.34
180,0.40,0.67,0.58,-5.25,8.06,-10.62
190,0.41,0.68,0.59,-5.86,6.41,-11.84
200,0.41,0.68,0.59,-6.16,5.19,-12.82
210,0.41,0.68,0.58,-6.47,4.76,-13.31
220,0.41,0.69,0.58,-7.14,5.68,-13.18
230,0.41,0.70,0.58,-7.26,6.96,-12.76
240,0.41,0.71,0.59,-7.26,8.61,-11.84
250,0.42,0.72,0.59,-7.14,9.89,-10.80
260,0.43,0.73,0.60,-6.77,10.50,-9.95
270,0.43,0.76,0.60,-5.92,8.12,-7.69
280,0.43,0.77,0.60,-5.31,5.68,-6.53
290,0.42,0.77,0.59,-4.58,3.54,-5.37
300,0.41,0.77,0.58,-3.54,1.77,-4.21
310,0.40,0.77,0.58,-2.62,0.24,-2.93
320,0.39,0.75,0.58,-0.79,-1.04,-1.10
330,0.38,0.73,0.59,0.06,-1.16,-0.92
340,0.38,0.71,0.60,0.49,-1.28,-1.04
350,0.37,0.70,0.60,0.73,-1.77,-1.22
360,0.36,0.68,0.61,0.79,-2.38,-1.40
370,0.35,0.62,0.63,1.89,-3.78,-1.89
380,0.34,0.58,0.65,3.17,-4.58,-2.20
390,0.32,0.54,0.68,4.70,-5.43,-2.75
400,0.28,0.49,0.73,6.59,-6.29,-3.72
410,0.23,0.46,0.78,8.54,-6.29,-6.65
430,0.11,0.32,1.03,19.41,-0.98,-12.33
440,0.14,0.27,1.12,22.64,-0.43,-15.38
450,0.19,0.22,1.19,25.27,-3.11,-19.84
460,0.23,0.20,1.24,26.79,-21.79,-33.26
470,0.14,0.19,1.27,29.48,-34.42,-41.14
480,0.05,0.19,1.27,31.19,-45.04,-47.91
490,-0.03,0.21,1.25,32.29,-51.21,-53.77
500,-0.08,0.21,1.22,34.30,-53.34,-58.96
510,-0.08,0.22,1.19,36.25,-50.72,-68.18
520,-0.02,0.28,1.10,36.01,-48.22,-74.52
530,0.04,0.32,1.07,35.77,-46.88,-82.21
540,0.15,0.38,1.04,34.48,-47.24,-90.45
550,0.24,0.47,1.06,32.53,-48.28,-99.79
560,0.30,0.56,1.07,34.24,-62.62,-120.97
570,0.40,0.71,0.94,40.83,-74.58,-126.83
580,0.44,0.73,0.84,47.49,-83.62,-127.93
590,0.53,0.87,0.75,51.45,-89.23,-127.38
600,0.63,0.93,0.67,57.25,-94.36,-127.14
610,0.68,0.94,0.61,60.61,-99.79,-126.34
620,0.88,1.11,0.62,58.47,-97.05,-128.11
