timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.48,0.79,0.30,-0.98,3.78,0.67
10,0.47,0.76,0.31,-0.37,2.99,0.37
20,0.46,0.72,0.32,-0.18,3.42,-0.49
30,0.47,0.71,0.34,-0.43,3.91,-2.01
40,0.48,0.71,0.35,-0.55,4.46,-4.03
50,0.49,0.71,0.36,-1.34,4.76,-5.43
60,0.51,0.70,0.36,-1.65,2.87,-9.46
70,0.52,0.69,0.37,-2.44,0.24,-11.54
80,0.52,0.68,0.37,-3.54,-2.38,-13.12
90,0.53,0.68,0.37,-4.46,-4.33,-14.71
100,0.53,0.68,0.36,-5.19,-5.98,-16.30
110,0.52,0.67,0.37,-7.39,-9.16,-19.47
120,0.46,0.65,0.38,-8.36,-8.67,-20.75
130,0.43,0.64,0.40,-8.97,-5.19,-21.85
140,0.42,0.61,0.42,-9.16,0.85,-23.38
150,0.40,0.59,0.45,-9.09,9.09,-25.88
160,0.51,0.55,0.49,-8.24,27.77,-32.71
170,0.59,0.52,0.52,-7.26,31.74,-36.87
180,0.66,0.49,0.55,-7.39,29.79,-40.10
190,0.71,0.47,0.57,-8.42,24.11,-42.79
200,0.72,0.46,0.59,-9.89,16.42,-44.86
210,0.69,0.43,0.71,-11.17,2.93,-50.35
220,0.66,0.43,0.78,-12.08,0.61,-54.14
230,0.73,0.43,0.86,-12.63,1.53,-58.53
240,0.74,0.40,0.90,-13.00,1.28,-64.94
250,0.77,0.40,0.89,-15.69,0.85,-75.87
270,0.91,0.34,0.81,-27.28,-14.83,-82.76
280,0.90,0.35,0.78,-34.61,-24.29,-86.36
290,0.86,0.34,0.75,-41.20,-31.25,-90.76
300,0.82,0.34,0.75,-48.28,-30.58,-103.88
310,0.84,0.44,0.66,-63.60,-20.94,-106.51
320,0.93,0.40,0.67,-67.50,-16.17,-116.15
330,0.86,0.35,0.56,-73.61,-23.25,-128.97
340,0.96,0.42,0.49,-82.52,-25.02,-131.71
350,1.04,0.45,0.38,-100.16,-38.09,-154.42
360,1.13,0.58,0.17,-109.74,-44.13,-155.58
370,1.22,0.69,0.04,-115.36,-49.87,-155.82
380,1.36,0.73,-0.11,-115.42,-58.23,-157.96
390,1.42,0.81,-0.21,-116.52,-69.64,-157.29
400,1.52,0.90,-0.34,-115.72,-99.55,-154.05
410,1.55,1.10,-0.54,-116.27,-119.81,-149.11
420,1.60,1.25,-0.65,-113.34,-135.31,-142.27
430,1.64,1.36,-0.78,-107.12,-150.63,-136.54
440,1.58,1.49,-0.91,-100.40,-168.27,-128.91
450,1.41,1.65,-1.31,-89.23,-194.46,-108.03
460,1.02,2.01,-1.63,-83.74,-192.81,-98.75
470,0.78,2.26,-1.85,-76.05,-179.99,-88.38
480,0.55,2.58,-2.03,-65.00,-153.87,-71.72
490,0.44,2.91,-2.13,-45.65,-115.11,-53.47
500,0.61,3.01,-2.31,20.69,-34.48,-27.47
510,1.17,3.29,-2.40,43.82,-11.23,-16.54
520,1.46,3.31,-2.46,84.05,-3.85,2.62
530,1.61,2.97,-2.48,142.52,-7.75,35.64
540,1.71,2.52,-2.47,199.10,-17.70,84.35
550,1.50,1.70,-2.36,273.32,-38.15,147.40
560,1.37,1.35,-2.33,303.77,-32.71,166.32
570,1.33,1.05,-2.28,331.24,-16.11,178.28
580,1.42,0.76,-2.23,356.20,5.25,185.79
590,1.62,0.46,-2.12,381.59,27.89,188.66
600,2.06,-0.18,-1.89,436.22,46.94,190.86
610,2.17,-0.55,-1.83,462.59,37.90,190.19
620,2.13,-0.92,-1.77,483.15,18.98,188.17
