timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.41,0.71,0.60,-5.19,-2.38,9.52
10,0.38,0.70,0.59,-4.64,-5.43,9.77
20,0.36,0.70,0.58,-3.97,-7.63,9.46
30,0.34,0.70,0.57,-3.17,-8.79,8.54
40,0.33,0.70,0.56,-2.44,-8.06,7.14
50,0.33,0.70,0.56,-0.55,-4.46,3.54
60,0.36,0.67,0.56,0.18,-2.44,1.46
70,0.38,0.66,0.57,0.31,-0.79,-0.43
80,0.40,0.65,0.57,-0.06,0.18,-2.14
90,0.42,0.65,0.58,-0.37,0.12,-2.99
100,0.43,0.64,0.59,-0.85,-0.49,-3.42
110,0.43,0.64,0.59,-1.22,-1.10,-2.69
120,0.42,0.65,0.59,-1.46,-0.98,-1.95
130,0.42,0.65,0.59,-2.01,-0.49,-1.46
140,0.42,0.65,0.59,-2.44,0.18,-0.98
150,0.42,0.65,0.59,-2.87,0.98,-0.24
160,0.42,0.64,0.60,-3.11,0.79,0.06
170,0.41,0.64,0.60,-3.36,0.06,0.06
180,0.40,0.65,0.61,-3.78,-0.67,-0.31
190,0.39,0.65,0.61,-3.91,-1.04,-0.61
200,0.38,0.65,0.60,-4.15,-0.61,-1.59
210,0.37,0.66,0.60,-4.39,0.24,-2.56
220,0.37,0.68,0.60,-4.70,1.28,-3.48
230,0.38,0.69,0.59,-4.94,2.50,-4.21
240,0.39,0.69,0.60,-4.82,3.23,-4.76
250,0.41,0.69,0.61,-4.21,3.11,-4.76
260,0.41,0.69,0.61,-3.97,2.20,-4.64
270,0.40,0.69,0.61,-3.91,0.55,-4.09
280,0.40,0.69,0.62,-3.23,-0.85,-3.66
290,0.40,0.69,0.61,-2.62,-1.83,-2.99
310,0.38,0.71,0.60,-1.28,-3.05,-2.87
320,0.38,0.71,0.60,-0.92,-2.50,-2.81
330,0.39,0.70,0.60,-0.61,-2.20,-2.62
340,0.39,0.69,0.61,-0.67,-2.08,-2.69
350,0.38,0.67,0.61,-0.55,-2.14,-2.69
360,0.38,0.66,0.61,-0.31,-2.44,-2.62
370,0.38,0.65,0.61,0.00,-2.93,-2.62
380,0.38,0.64,0.61,-0.18,-3.30,-2.81
390,0.38,0.63,0.61,-0.73,-3.60,-3.17
400,0.36,0.61,0.61,-0.61,-3.36,-3.42
410,0.35,0.60,0.61,-0.85,-3.11,-3.85
420,0.35,0.59,0.62,-0.92,-2.62,-4.33
430,0.36,0.57,0.62,-0.67,-2.50,-4.82
440,0.35,0.55,0.63,0.61,-4.39,-5.62
450,0.32,0.50,0.66,1.53,-5.68,-6.71
460,0.28,0.47,0.67,3.11,-6.77,-8.30
470,0.22,0.44,0.71,4.82,-7.32,-10.50
480,0.17,0.41,0.75,6.29,-6.96,-13.37
490,0.14,0.38,0.88,8.54,-4.58,-19.59
500,0.12,0.31,0.99,8.18,-5.13,-23.32
510,0.11,0.30,1.03,6.96,-8.24,-27.65
520,0.12,0.30,1.03,5.43,-13.24,-32.71
530,0.13,0.31,1.02,4.15,-18.92,-38.51
540,0.11,0.32,1.02,2.87,-31.74,-49.07
550,-0.00,0.37,1.04,2.99,-36.80,-52.55
560,-0.07,0.39,1.08,3.72,-39.06,-54.38
570,-0.11,0.41,1.14,4.82,-38.76,-55.30
580,-0.12,0.43,1.17,6.65,-37.35,-56.52
590,-0.04,0.47,1.19,11.84,-37.17,-61.83
600,0.03,0.49,1.15,13.61,-40.95,-66.10
610,0.09,0.53,1.07,14.22,-47.85,-70.86
620,0.13,0.60,0.99,13.79,-56.76,-76.48
630,0.15,0.67,0.89,13.37,-65.86,-82.82
640,0.20,0.75,0.81,13.73,-80.38,-95.34
650,0.24,0.81,0.77,12.88,-83.31,-100.89
660,0.32,0.92,0.77,11.90,-82.52,-105.22
670,0.38,0.98,0.78,12.15,-78.74,-110.23
680,0.54,1.12,0.75,15.38,-75.87,-120.18
700,0.84,1.26,0.76,30.70,-80.75,-118.29
710,1.03,1.29,0.69,36.80,-82.95,-117.49
720,1.16,1.38,0.55,43.40,-90.64,-118.65
730,1.16,1.45,0.49,47.36,-99.67,-102.48
740,1.41,1.51,0.46,48.83,-94.91,-90.27
750,1.51,1.54,0.53,43.46,-89.78,-81.18
760,1.80,1.67,0.49,35.71,-84.59,-70.19
770,1.98,1.76,0.54,32.78,-87.16,-62.44
780,2.09,1.86,0.46,34.73,-108.58,-19.17
790,2.03,1.98,0.21,41.75,-119.87,13.37
800,1.90,1.95,0.11,50.72,-121.52,46.88
810,1.78,1.86,0.06,61.10,-110.29,80.08
820,1.73,1.75,0.10,70.25,-88.26,112.18
830,1.78,1.60,0.16,85.27,-39.86,162.54
840,1.86,1.30,0.25,90.52,-25.33,181.58
850,1.86,1.18,0.29,96.13,-17.52,198.00
860,1.86,1.06,0.32,104.43,-15.08,212.71
870,1.86,0.93,0.31,115.91,-19.29,226.38
880,1.77,0.77,0.25,139.40,-37.78,253.85
890,1.61,0.46,0.18,151.18,-43.03,267.40
900,1.56,0.28,0.12,161.62,-45.65,279.48
910,1.53,0.10,0.09,170.35,-46.75,290.34
920,1.49,-0.08,0.08,178.28,-46.63,300.72
930,1.44,-0.45,0.02,193.30,-44.86,317.75
940,1.38,-0.64,0.04,200.01,-43.82,321.53
950,1.34,-0.86,0.15,204.35,-42.66,320.50
960,1.26,-1.06,0.26,206.12,-42.60,316.35
970,1.16,-1.25,0.26,207.03,-45.35,310.61
980,1.04,-1.56,0.17,200.68,-60.91,297.24
990,0.82,-1.67,0.13,190.37,-71.17,289.06
1000,0.61,-1.74,0.13,174.07,-74.04,287.23
1010,0.41,-1.85,0.14,158.33,-70.50,281.68
1020,0.17,-1.96,0.18,143.86,-61.22,268.07
1030,-0.20,-2.16,0.29,111.21,-26.06,241.46
1040,-0.29,-2.22,0.37,92.41,-4.09,224.06
1050,-0.33,-2.29,0.45,71.47,16.85,210.82
1060,-0.43,-2.35,0.51,48.16,36.07,197.69
1070,-0.53,-2.30,0.52,19.41,53.59,164.18
1090,-0.52,-1.70,0.51,-40.41,103.76,152.53
1100,-0.32,-1.60,0.53,-47.30,106.45,149.60
1110,-0.19,-1.58,0.57,-57.43,93.63,130.80
1120,-0.15,-1.48,0.64,-69.76,51.33,57.25
1130,-0.15,-1.19,0.75,-86.73,37.41,17.94
1140,-0.11,-1.06,0.81,-90.58,31.31,-10.62
1150,-0.04,-0.92,0.84,-93.44,29.79,-30.27
