timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.55,0.84,0.27,-6.65,6.47,-2.20
10,0.55,0.84,0.27,-6.23,7.20,-2.50
20,0.56,0.83,0.28,-5.68,7.51,-2.50
30,0.55,0.82,0.28,-4.82,7.08,-2.08
40,0.55,0.82,0.28,-4.09,6.29,-1.28
50,0.53,0.82,0.27,-1.46,3.91,1.16
60,0.53,0.81,0.26,0.24,2.38,2.62
70,0.52,0.79,0.24,2.01,0.61,4.27
80,0.50,0.77,0.23,3.54,-1.16,5.37
90,0.48,0.75,0.23,3.78,-2.87,5.92
110,0.44,0.75,0.23,2.81,-1.53,4.27
120,0.43,0.76,0.22,2.38,-0.12,3.36
130,0.43,0.76,0.22,1.83,1.53,2.32
140,0.44,0.76,0.21,1.59,3.72,0.92
150,0.46,0.77,0.22,0.49,3.97,0.00
160,0.47,0.77,0.22,-0.24,3.78,-1.10
170,0.46,0.78,0.22,-0.79,3.48,-2.26
180,0.46,0.78,0.22,-1.28,3.23,-3.17
190,0.47,0.77,0.22,-1.89,4.27,-4.64
200,0.48,0.78,0.22,-2.38,4.94,-5.13
210,0.49,0.79,0.23,-2.99,5.74,-5.49
220,0.50,0.80,0.22,-3.11,6.71,-5.74
230,0.50,0.80,0.23,-3.11,7.32,-5.86
240,0.52,0.81,0.23,-3.36,8.00,-5.92
250,0.54,0.81,0.24,-3.05,7.57,-5.74
260,0.55,0.81,0.24,-2.81,6.59,-5.25
270,0.54,0.81,0.25,-2.50,5.98,-4.94
280,0.53,0.81,0.25,-2.26,5.74,-4.58
290,0.52,0.82,0.25,-1.71,6.59,-3.78
300,0.51,0.83,0.24,-1.04,7.75,-3.54
310,0.51,0.83,0.23,-0.49,8.54,-3.42
320,0.50,0.83,0.23,-0.12,9.28,-3.05
330,0.49,0.82,0.23,0.06,10.38,-2.87
340,0.49,0.81,0.23,0.79,11.66,-3.05
350,0.48,0.78,0.24,1.16,12.15,-3.42
