timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.25,0.93,0.18,-1.40,-18.43,-14.83
10,0.25,0.93,0.19,-1.46,-19.04,-15.01
20,0.26,0.93,0.19,-1.77,-19.90,-15.44
30,0.26,0.93,0.19,-2.14,-22.40,-17.52
40,0.27,0.94,0.19,-2.01,-23.93,-18.68
50,0.27,0.94,0.19,-1.83,-25.57,-20.20
60,0.27,0.95,0.20,-1.22,-27.28,-21.79
70,0.27,0.96,0.20,-0.55,-28.93,-23.01
80,0.27,0.97,0.18,1.10,-31.25,-24.05
90,0.27,0.98,0.17,1.53,-32.10,-23.93
100,0.27,0.98,0.16,1.71,-32.90,-23.44
110,0.27,0.97,0.16,1.71,-33.69,-22.28
120,0.27,0.97,0.16,1.53,-34.48,-20.87
130,0.28,0.96,0.16,1.22,-36.50,-18.01
140,0.28,0.95,0.16,0.92,-37.72,-16.42
150,0.27,0.95,0.16,0.55,-38.64,-15.01
160,0.26,0.94,0.15,0.55,-38.88,-14.04
170,0.26,0.94,0.15,0.43,-38.57,-13.31
180,0.24,0.93,0.14,0.18,-36.80,-12.51
190,0.25,0.94,0.14,0.24,-35.46,-12.27
200,0.24,0.94,0.14,0.24,-34.67,-11.96
210,0.24,0.95,0.15,0.43,-34.36,-11.90
220,0.24,0.95,0.15,1.22,-34.24,-11.35
240,0.23,0.96,0.17,2.99,-35.52,-10.44
250,0.23,0.96,0.17,3.66,-35.77,-9.77
260,0.22,0.96,0.17,4.03,-36.01,-9.09
270,0.21,0.96,0.16,4.27,-36.07,-7.63
280,0.21,0.95,0.16,3.85,-35.40,-7.14
290,0.21,0.95,0.16,3.60,-34.61,-6.84
300,0.21,0.94,0.17,2.99,-33.57,-6.47
310,0.21,0.94,0.17,2.14,-32.29,-6.16
320,0.22,0.94,0.17,0.92,-29.85,-5.68
330,0.22,0.93,0.16,0.31,-28.38,-5.62
340,0.22,0.93,0.16,-0.06,-26.92,-5.55
350,0.22,0.93,0.16,-0.49,-25.33,-5.31
360,0.22,0.94,0.15,-0.55,-23.62,-5.13
370,0.22,0.94,0.15,-0.67,-20.51,-4.88
380,0.23,0.93,0.14,-0.55,-18.74,-4.70
390,0.23,0.93,0.14,-0.31,-17.52,-4.58
400,0.24,0.94,0.15,0.00,-16.60,-4.58
410,0.25,0.94,0.16,0.31,-16.11,-4.39
420,0.25,0.94,0.21,1.28,-16.30,-3.91
430,0.26,0.94,0.19,1.71,-16.66,-3.60
440,0.26,0.95,0.20,2.20,-17.58,-3.30
450,0.25,0.94,0.20,2.44,-18.37,-2.93
460,0.26,0.94,0.20,2.38,-19.17,-2.44
470,0.22,0.95,0.20,1.83,-21.12,-0.61
480,0.23,0.94,0.21,1.89,-20.75,0.18
490,0.21,0.93,0.21,1.71,-19.35,0.67
500,0.20,0.93,0.21,1.77,-17.03,0.85
510,0.20,0.92,0.22,1.71,-14.10,1.04
520,0.22,0.92,0.22,0.79,-9.70,1.16
530,0.23,0.93,0.22,0.43,-8.85,1.40
540,0.23,0.92,0.22,-0.12,-8.54,1.46
550,0.23,0.93,0.21,-0.73,-8.24,1.77
560,0.22,0.93,0.20,-1.65,-8.18,2.20
570,0.21,0.93,0.19,-2.93,-7.45,3.23
580,0.21,0.92,0.19,-3.30,-6.47,3.60
590,0.21,0.92,0.19,-3.60,-5.49,3.91
600,0.21,0.92,0.19,-3.78,-4.94,4.15
610,0.21,0.92,0.19,-3.91,-4.21,4.27
630,0.21,0.91,0.19,-3.91,-2.62,4.46
640,0.21,0.91,0.19,-4.15,-2.38,4.76
650,0.20,0.91,0.19,-4.27,-2.14,4.76
660,0.19,0.91,0.19,-4.27,-1.89,4.27
670,0.18,0.92,0.19,-4.27,-1.40,3.91
680,0.18,0.92,0.19,-4.33,-0.24,3.48
690,0.18,0.92,0.19,-4.33,0.79,2.99
700,0.18,0.93,0.19,-4.52,1.59,2.69
710,0.18,0.93,0.19,-4.82,3.54,2.14
720,0.19,0.93,0.19,-4.64,4.33,2.01
730,0.20,0.93,0.19,-4.52,5.25,1.89
740,0.20,0.93,0.19,-4.64,5.68,2.14
750,0.20,0.93,0.20,-4.52,5.68,2.20
760,0.20,0.93,0.20,-3.97,5.80,2.50
770,0.19,0.94,0.20,-3.54,5.74,2.62
780,0.19,0.94,0.19,-3.05,6.35,2.62
790,0.18,0.94,0.18,-2.81,7.08,2.69
800,0.18,0.93,0.18,-2.38,8.00,2.44
810,0.17,0.93,0.19,-1.53,10.13,1.77
820,0.17,0.93,0.19,-0.92,10.80,1.77
830,0.18,0.93,0.20,0.00,11.84,1.53
840,0.19,0.93,0.20,0.92,12.39,1.28
850,0.21,0.93,0.20,1.71,12.33,1.04
860,0.22,0.93,0.21,3.05,10.44,0.73
870,0.21,0.94,0.20,3.11,8.73,0.37
880,0.21,0.94,0.18,3.42,7.75,-0.31
890,0.19,0.95,0.17,3.66,7.26,-1.22
900,0.19,0.96,0.17,3.78,7.81,-2.44
910,0.20,0.98,0.15,3.66,10.74,-4.94
920,0.21,0.97,0.13,4.27,12.63,-6.41
930,0.23,0.97,0.12,4.94,14.53,-8.12
