timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.41,0.83,0.22,-5.13,-20.81,-12.21
10,0.40,0.84,0.22,-4.94,-19.29,-11.41
20,0.41,0.85,0.22,-4.58,-18.80,-11.29
30,0.42,0.84,0.22,-4.03,-18.43,-11.29
40,0.43,0.83,0.22,-3.66,-18.25,-11.54
50,0.44,0.83,0.22,-3.23,-18.19,-11.78
60,0.45,0.82,0.23,-3.17,-19.04,-12.39
70,0.47,0.82,0.23,-2.69,-19.17,-12.63
80,0.48,0.81,0.23,-2.50,-19.35,-12.88
90,0.49,0.81,0.24,-2.38,-18.98,-13.06
100,0.49,0.81,0.24,-2.08,-18.31,-13.06
110,0.51,0.80,0.24,-1.53,-16.60,-12.63
120,0.51,0.80,0.25,-1.28,-15.32,-12.57
130,0.53,0.80,0.25,-1.22,-13.85,-12.82
140,0.54,0.80,0.26,-1.22,-12.88,-12.82
150,0.55,0.80,0.26,-1.16,-12.45,-12.70
160,0.57,0.80,0.27,-0.98,-12.88,-12.21
170,0.58,0.80,0.28,-0.73,-13.43,-11.54
180,0.58,0.80,0.28,-0.49,-13.92,-10.74
190,0.57,0.80,0.28,-0.24,-14.40,-9.95
200,0.57,0.80,0.28,0.06,-14.28,-8.54
220,0.55,0.80,0.28,0.98,-12.02,-7.20
230,0.55,0.79,0.28,0.98,-10.74,-6.65
240,0.54,0.80,0.29,0.92,-9.46,-6.16
250,0.53,0.80,0.29,0.79,-7.14,-5.25
260,0.52,0.80,0.29,1.16,-6.23,-4.88
270,0.51,0.80,0.29,1.22,-5.49,-4.52
280,0.50,0.81,0.29,1.16,-5.19,-3.60
290,0.50,0.81,0.28,1.28,-5.13,-2.99
300,0.49,0.81,0.28,2.08,-4.64,-1.46
310,0.48,0.81,0.27,2.69,-3.91,-0.73
320,0.48,0.81,0.27,2.87,-3.23,-0.06
330,0.48,0.81,0.26,3.05,-2.50,0.61
340,0.49,0.82,0.26,3.11,-1.53,1.40
350,0.50,0.82,0.26,3.36,-0.06,2.99
360,0.49,0.83,0.25,3.48,0.37,3.97
370,0.50,0.83,0.25,3.91,1.40,5.00
380,0.51,0.82,0.25,3.91,2.93,5.86
390,0.51,0.81,0.25,3.85,4.15,6.77
400,0.52,0.81,0.26,3.91,5.86,8.73
410,0.52,0.79,0.26,3.91,6.65,9.70
420,0.52,0.79,0.26,4.21,7.45,10.80
430,0.51,0.78,0.26,4.58,8.12,11.78
440,0.50,0.78,0.26,4.70,9.22,12.33
450,0.50,0.78,0.25,5.19,13.49,13.73
460,0.49,0.77,0.25,5.62,15.44,13.85
470,0.50,0.77,0.25,6.04,17.27,13.98
