timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.53,-0.83,0.22,-5.68,32.90,7.08
10,0.53,-0.83,0.22,-6.16,34.18,7.57
20,0.53,-0.83,0.22,-6.59,35.40,7.81
30,0.53,-0.83,0.22,-6.65,36.01,8.06
40,0.53,-0.84,0.22,-6.84,36.38,8.12
50,0.54,-0.84,0.22,-6.96,36.07,8.18
60,0.55,-0.85,0.21,-7.26,35.34,8.18
70,0.55,-0.85,0.21,-7.39,34.30,8.18
80,0.56,-0.85,0.20,-7.63,33.20,8.12
90,0.55,-0.86,0.20,-7.63,32.10,8.42
100,0.55,-0.86,0.20,-8.00,30.15,8.54
110,0.54,-0.86,0.19,-8.12,29.91,8.61
120,0.54,-0.86,0.20,-8.00,29.60,8.73
130,0.54,-0.86,0.19,-8.06,29.36,8.91
140,0.54,-0.86,0.20,-7.81,29.24,8.67
150,0.54,-0.86,0.20,-7.87,28.26,8.18
160,0.54,-0.86,0.20,-7.81,27.71,7.75
170,0.54,-0.86,0.19,-8.00,27.40,7.45
180,0.54,-0.85,0.19,-8.12,26.79,6.90
190,0.54,-0.85,0.19,-8.18,26.31,6.29
200,0.54,-0.84,0.19,-8.42,25.57,4.88
210,0.54,-0.84,0.19,-8.61,25.02,4.15
220,0.55,-0.84,0.18,-8.54,24.48,3.72
230,0.55,-0.83,0.18,-8.48,23.86,3.11
240,0.56,-0.83,0.18,-8.42,23.13,2.75
250,0.57,-0.83,0.18,-8.12,20.69,2.08
260,0.56,-0.83,0.18,-7.75,19.59,1.71
270,0.57,-0.82,0.17,-7.45,18.80,1.22
280,0.57,-0.82,0.17,-7.08,18.13,0.67
290,0.57,-0.82,0.16,-6.71,17.52,0.31
300,0.57,-0.81,0.16,-6.29,16.17,-0.92
310,0.58,-0.81,0.16,-6.23,15.44,-1.65
320,0.58,-0.81,0.16,-6.10,15.20,-2.38
330,0.59,-0.81,0.16,-5.86,14.65,-2.87
340,0.59,-0.81,0.16,-5.68,14.10,-3.54
360,0.60,-0.81,0.15,-4.88,11.78,-4.21
370,0.60,-0.81,0.15,-4.46,11.17,-4.52
380,0.61,-0.81,0.16,-3.85,10.19,-4.39
390,0.61,-0.81,0.16,-3.30,8.18,-4.88
400,0.61,-0.81,0.17,-2.32,7.02,-4.70
410,0.61,-0.81,0.16,-1.65,6.16,-4.76
420,0.61,-0.81,0.16,-0.98,5.55,-5.00
430,0.61,-0.81,0.16,-0.67,4.82,-5.00
440,0.60,-0.80,0.16,0.18,3.85,-4.94
450,0.61,-0.80,0.16,0.61,3.48,-4.94
460,0.61,-0.80,0.16,0.85,2.75,-4.52
470,0.61,-0.80,0.16,1.46,1.89,-4.39
480,0.62,-0.80,0.16,1.95,1.04,-4.52
490,0.61,-0.80,0.16,2.62,-1.16,-4.15
500,0.61,-0.80,0.16,3.23,-1.95,-4.03
510,0.61,-0.79,0.16,3.78,-2.87,-3.66
520,0.60,-0.79,0.16,4.09,-3.85,-3.42
530,0.60,-0.79,0.16,4.58,-4.52,-3.30
540,0.60,-0.79,0.16,6.16,-5.25,-3.36
550,0.60,-0.79,0.16,6.96,-6.10,-3.30
560,0.60,-0.79,0.16,7.69,-6.84,-3.36
570,0.60,-0.79,0.16,8.42,-7.81,-3.48
580,0.60,-0.79,0.16,8.91,-8.91,-3.48
590,0.60,-0.79,0.16,10.86,-10.56,-3.72
600,0.61,-0.79,0.16,11.84,-11.54,-3.54
610,0.61,-0.79,0.16,12.76,-12.45,-3.23
620,0.61,-0.78,0.16,13.61,-13.49,-3.17
630,0.61,-0.78,0.16,14.65,-14.53,-2.93
640,0.61,-0.78,0.16,16.42,-16.60,-2.01
650,0.60,-0.77,0.16,17.27,-17.76,-1.28
660,0.60,-0.77,0.16,18.01,-18.68,-0.61
670,0.60,-0.77,0.16,18.55,-19.47,0.31
680,0.60,-0.77,0.15,19.23,-20.26,1.28
690,0.59,-0.77,0.15,20.75,-21.73,3.17
700,0.58,-0.77,0.15,21.42,-22.16,4.21
710,0.58,-0.77,0.15,22.22,-22.64,5.07
720,0.58,-0.78,0.15,22.95,-23.44,5.62
730,0.58,-0.79,0.14,23.99,-24.48,6.10
750,0.58,-0.80,0.14,26.67,-27.83,6.04
760,0.58,-0.80,0.14,27.53,-29.17,5.92
