timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.58,0.72,0.36,-0.85,5.00,9.64
10,0.59,0.71,0.36,0.24,2.69,8.54
20,0.60,0.70,0.37,0.24,0.73,7.93
30,0.60,0.70,0.37,0.55,-0.85,7.32
40,0.60,0.69,0.38,0.92,-2.38,6.77
50,0.59,0.69,0.38,1.04,-3.42,6.47
60,0.57,0.70,0.39,0.98,-2.32,5.19
70,0.55,0.69,0.39,1.04,-0.55,4.58
80,0.55,0.69,0.39,1.10,1.28,4.15
90,0.55,0.68,0.38,1.40,2.56,3.85
100,0.55,0.68,0.38,0.67,3.54,3.42
110,0.54,0.70,0.37,-0.79,3.48,2.75
120,0.54,0.71,0.36,-1.34,2.99,2.38
130,0.55,0.71,0.35,-1.71,3.05,2.44
140,0.55,0.70,0.35,-1.71,3.05,2.44
150,0.55,0.70,0.35,-2.14,2.81,2.69
160,0.54,0.69,0.35,-2.93,2.93,2.69
170,0.54,0.69,0.35,-3.23,3.78,2.38
180,0.54,0.70,0.34,-3.30,5.00,2.01
190,0.53,0.70,0.34,-3.60,6.10,1.53
200,0.54,0.70,0.33,-3.91,7.08,0.79
220,0.55,0.70,0.33,-4.27,7.14,0.24
230,0.55,0.70,0.34,-4.09,7.02,-0.37
240,0.55,0.71,0.35,-3.78,7.08,-0.85
250,0.56,0.71,0.36,-3.36,6.77,-1.95
260,0.56,0.70,0.36,-2.01,6.53,-2.32
270,0.57,0.71,0.36,-1.65,5.86,-2.87
280,0.57,0.71,0.36,-1.53,5.55,-3.42
290,0.58,0.71,0.36,-1.40,4.88,-3.85
300,0.58,0.70,0.37,-1.65,3.36,-4.58
310,0.57,0.69,0.39,-1.83,2.93,-4.88
320,0.56,0.69,0.40,-2.20,2.93,-5.00
330,0.56,0.68,0.41,-2.32,3.17,-5.13
340,0.56,0.67,0.42,-2.32,3.48,-5.19
350,0.56,0.65,0.43,-2.32,3.78,-5.68
360,0.54,0.59,0.47,-2.32,3.91,-6.84
370,0.50,0.55,0.51,-2.56,5.43,-8.85
380,0.49,0.53,0.57,-2.87,9.70,-11.54
390,0.51,0.49,0.63,-2.50,14.71,-15.08
400,0.58,0.46,0.78,-1.04,15.44,-22.58
410,0.71,0.40,0.86,-0.67,9.77,-25.63
420,0.76,0.38,0.93,-0.55,3.17,-28.69
430,0.80,0.35,0.99,0.73,-3.85,-32.35
440,0.80,0.31,1.03,1.34,-11.78,-36.19
450,0.78,0.26,1.07,0.06,-30.58,-43.58
460,0.74,0.25,1.07,-1.83,-37.90,-46.57
470,0.73,0.26,1.07,-5.25,-42.18,-49.87
480,0.75,0.27,1.02,-8.67,-45.47,-53.96
490,0.72,0.27,0.95,-13.37,-48.71,-59.33
500,0.64,0.30,0.75,-26.25,-48.77,-69.40
510,0.62,0.32,0.66,-32.35,-46.39,-75.07
520,0.68,0.36,0.57,-38.64,-44.01,-81.36
530,0.69,0.38,0.51,-44.68,-44.80,-90.94
540,0.65,0.40,0.48,-53.47,-45.29,-101.14
550,0.73,0.64,0.35,-65.37,-43.27,-122.07
560,0.78,0.70,0.29,-64.33,-47.61,-133.73
570,0.85,0.78,0.21,-63.84,-54.99,-141.05
580,0.87,0.83,0.15,-60.67,-62.87,-145.63
590,0.97,0.91,0.08,-59.51,-64.15,-151.00
610,1.35,1.23,-0.14,-53.53,-78.31,-153.26
620,1.38,1.34,-0.18,-49.74,-90.15,-148.80
630,1.36,1.46,-0.22,-44.37,-100.16,-140.99
640,1.34,1.56,-0.23,-37.72,-110.78,-122.19
650,1.33,1.78,-0.29,-25.09,-114.62,-110.72
660,1.26,1.93,-0.41,-20.39,-117.37,-97.96
670,1.16,2.08,-0.56,-14.53,-118.23,-84.23
680,1.03,2.23,-0.74,-5.74,-116.46,-69.70
690,0.88,2.39,-0.91,25.27,-90.76,-32.78
700,0.89,2.44,-1.12,48.34,-75.13,-15.56
710,0.95,2.43,-1.13,68.85,-58.53,8.67
720,1.12,2.38,-1.11,89.17,-44.19,36.01
730,1.29,2.23,-1.09,114.93,-37.48,60.30
740,1.47,2.17,-1.05,161.44,-39.00,104.98
750,1.51,1.79,-1.02,187.01,-43.76,122.25
760,1.44,1.60,-1.06,209.66,-43.88,140.01
770,1.39,1.39,-1.10,229.92,-38.57,155.82
780,1.33,1.20,-1.17,247.62,-31.01,168.15
790,1.36,1.00,-1.25,285.22,-8.12,192.32
800,1.55,0.51,-1.17,301.15,-0.67,199.46
810,1.66,0.29,-1.11,314.94,2.62,203.43
820,1.80,0.06,-1.04,328.98,1.71,205.38
830,1.87,-0.20,-1.02,343.08,-5.62,206.18
840,1.83,-0.64,-1.04,362.49,-30.76,209.59
850,1.54,-0.83,-1.02,369.14,-33.57,211.30
860,1.43,-1.09,-0.94,376.46,-27.83,211.36
870,1.35,-1.33,-0.85,380.55,-18.19,208.50
880,1.31,-1.62,-0.74,379.88,-5.43,203.12
890,1.30,-2.32,-0.37,361.76,13.24,184.63
900,1.22,-2.62,-0.15,341.74,15.26,169.25
910,1.13,-2.80,0.12,313.05,12.57,156.92
920,0.97,-2.93,0.44,277.95,5.86,159.97
930,0.74,-2.99,0.72,237.85,2.26,161.38
940,0.34,-2.67,1.02,161.68,-0.73,133.85
950,0.14,-2.48,1.04,129.03,2.01,129.88
960,0.00,-2.37,1.00,99.24,8.79,125.79
970,-0.09,-2.27,0.93,69.27,18.68,120.06
980,-0.12,-2.12,0.87,37.29,31.56,99.55
1000,0.03,-1.51,0.81,-49.32,73.00,76.42
1010,0.17,-1.29,0.78,-72.20,86.79,66.22
1020,0.41,-1.07,0.74,-91.55,98.14,55.91
1030,0.63,-0.81,0.68,-106.02,97.29,35.58
1040,0.83,-0.41,0.57,-113.22,89.23,28.93
1050,0.86,-0.29,0.53,-110.41,82.40,25.27
1060,0.92,-0.18,0.50,-106.26,79.53,23.01
1070,1.00,-0.10,0.49,-101.14,77.58,20.81
1080,1.09,-0.03,0.49,-89.97,70.56,12.63
1090,1.20,0.07,0.53,-84.59,64.82,7.63
1100,1.22,0.09,0.55,-79.65,58.23,2.50
1110,1.21,0.09,0.58,-75.32,51.27,-1.53
1120,1.20,0.08,0.60,-72.51,45.23,-3.36
1130,1.17,0.06,0.61,-70.68,38.64,-3.72
1140,1.11,0.01,0.65,-71.04,36.74,-3.36
1150,1.07,0.03,0.67,-73.06,35.03,-2.38
