timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.52,0.75,0.46,2.75,0.85,2.26
10,0.50,0.74,0.46,2.99,-0.55,2.99
20,0.48,0.73,0.46,3.11,-0.85,3.36
30,0.47,0.74,0.46,3.11,-0.67,3.48
40,0.46,0.73,0.45,2.69,0.37,3.42
50,0.46,0.72,0.44,2.01,3.78,3.05
60,0.46,0.72,0.43,1.46,5.31,2.81
70,0.47,0.71,0.43,0.98,6.77,2.44
80,0.47,0.71,0.44,0.49,7.69,2.20
90,0.48,0.70,0.44,0.06,8.00,1.95
100,0.48,0.69,0.46,-0.24,6.84,1.28
110,0.48,0.68,0.45,-0.18,5.80,1.10
120,0.47,0.67,0.45,0.18,5.00,0.49
130,0.46,0.65,0.46,0.67,4.76,-0.31
140,0.45,0.64,0.46,1.34,4.39,-2.50
160,0.48,0.58,0.52,2.62,3.91,-5.31
170,0.49,0.57,0.54,2.75,2.99,-6.90
180,0.50,0.58,0.56,2.50,1.22,-8.97
190,0.51,0.58,0.57,2.50,-3.11,-12.70
200,0.51,0.60,0.56,1.71,-5.00,-14.47
210,0.53,0.61,0.55,0.55,-7.20,-16.60
220,0.53,0.62,0.53,-0.92,-10.62,-18.19
230,0.53,0.62,0.52,-1.77,-14.16,-19.65
240,0.53,0.61,0.52,-3.42,-19.78,-21.85
250,0.51,0.61,0.53,-4.64,-21.97,-23.19
260,0.50,0.61,0.53,-5.55,-22.52,-24.29
270,0.49,0.60,0.53,-5.98,-21.36,-25.21
280,0.49,0.58,0.54,-6.53,-19.23,-26.37
290,0.50,0.56,0.54,-7.81,-15.87,-29.24
300,0.50,0.51,0.55,-8.48,-15.44,-30.82
310,0.48,0.50,0.57,-9.22,-15.87,-33.02
320,0.46,0.49,0.59,-9.34,-15.69,-35.64
330,0.46,0.46,0.63,-8.61,-14.95,-38.64
340,0.48,0.42,0.76,-5.86,-15.93,-45.41
350,0.46,0.35,0.85,-5.00,-16.54,-49.87
360,0.50,0.33,0.94,-4.21,-16.48,-55.36
370,0.51,0.29,1.00,-2.44,-16.78,-61.10
380,0.49,0.26,1.07,-0.85,-16.48,-67.02
390,0.54,0.19,1.13,-0.92,-11.29,-80.02
400,0.57,0.16,1.14,-2.99,-13.24,-86.91
410,0.55,0.15,1.15,-6.77,-16.66,-91.80
420,0.54,0.15,1.16,-11.96,-17.64,-95.95
430,0.57,0.17,1.15,-17.70,-16.36,-101.20
440,0.59,0.18,1.05,-31.86,-17.46,-112.92
450,0.53,0.19,0.96,-41.56,-18.37,-118.77
460,0.50,0.22,0.86,-50.66,-15.87,-123.84
470,0.48,0.22,0.79,-58.35,-10.74,-129.46
480,0.59,0.23,0.66,-67.02,-5.49,-151.43
490,0.74,0.40,0.54,-90.76,-5.49,-158.57
500,0.80,0.48,0.49,-99.18,-10.56,-170.96
510,0.86,0.59,0.37,-104.55,-18.13,-179.38
520,0.94,0.68,0.29,-106.45,-24.41,-181.70
530,1.08,0.79,0.20,-106.57,-31.98,-175.35
550,1.48,1.10,-0.02,-106.26,-71.59,-170.90
560,1.57,1.27,-0.08,-108.40,-88.62,-166.99
570,1.63,1.44,-0.17,-106.45,-105.16,-158.75
580,1.65,1.58,-0.27,-84.90,-130.49,-134.64
590,1.55,1.77,-0.57,-88.32,-136.41,-121.89
600,1.51,1.93,-0.79,-82.70,-137.02,-111.57
610,1.42,2.03,-0.99,-72.20,-132.51,-94.24
620,1.27,2.12,-1.08,-60.97,-122.74,-70.31
630,1.19,2.15,-1.14,-31.86,-82.46,-25.70
640,1.33,2.20,-1.12,-14.83,-52.31,-0.73
650,1.44,2.19,-1.06,5.92,-25.45,22.58
660,1.54,2.16,-1.04,30.15,-8.30,43.88
670,1.66,2.06,-1.06,58.96,0.00,65.73
680,1.73,1.93,-1.09,115.78,0.61,105.83
690,1.73,1.59,-1.06,140.99,-3.05,121.70
700,1.72,1.41,-1.02,163.70,-7.14,133.79
710,1.70,1.25,-0.97,184.39,-11.60,144.04
720,1.70,1.10,-0.91,203.19,-14.04,154.72
730,1.69,0.96,-0.79,235.60,-14.16,173.28
740,1.62,0.67,-0.74,249.57,-11.60,179.57
750,1.61,0.54,-0.76,262.21,-7.87,182.98
760,1.62,0.39,-0.81,274.29,-4.15,184.02
770,1.63,0.26,-0.87,286.32,0.37,183.90
780,1.78,-0.11,-0.98,314.27,5.80,189.15
790,1.85,-0.31,-0.98,325.26,3.11,192.32
800,1.89,-0.49,-0.94,333.07,-2.44,195.74
810,1.86,-0.67,-0.86,338.68,-12.33,197.33
820,1.78,-0.83,-0.79,341.92,-23.93,199.04
830,1.59,-1.14,-0.65,340.52,-37.11,204.71
840,1.50,-1.28,-0.58,337.40,-38.57,204.35
850,1.40,-1.45,-0.47,334.29,-38.02,202.03
860,1.30,-1.72,-0.32,330.08,-35.46,201.23
870,1.25,-1.87,-0.23,321.59,-31.49,193.85
880,1.12,-2.26,-0.05,294.31,-31.19,197.20
890,1.07,-2.37,0.07,273.25,-30.70,178.41
900,0.96,-2.46,0.21,251.22,-33.20,165.65
910,0.82,-2.53,0.36,226.07,-35.52,161.56
920,0.67,-2.58,0.52,197.75,-18.80,163.21
940,0.10,-2.51,0.82,104.13,-1.83,162.29
950,-0.10,-2.46,0.87,73.49,19.04,159.91
960,-0.25,-2.30,0.89,40.53,44.13,155.03
970,-0.30,-2.06,0.92,-5.00,95.58,142.70
980,-0.12,-1.58,0.94,-29.11,112.00,134.58
990,0.01,-1.37,0.93,-42.24,119.32,125.18
1000,0.13,-1.20,0.88,-51.76,116.88,115.66
1010,0.21,-1.06,0.86,-59.27,106.75,104.06
1020,0.28,-0.96,0.85,-68.24,83.25,75.81
1030,0.39,-0.79,0.79,-74.22,76.66,61.40
1040,0.46,-0.70,0.75,-80.51,73.85,44.56
1050,0.55,-0.59,0.74,-87.16,73.36,28.44
1060,0.64,-0.50,0.74,-92.71,75.62,12.57
1070,0.75,-0.40,0.75,-101.07,85.27,-9.03
1080,1.03,-0.19,0.71,-103.88,86.18,-15.81
1090,1.14,-0.10,0.70,-104.37,81.91,-20.57
