timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.35,-0.93,0.24,-11.23,41.32,0.43
10,0.35,-0.91,0.24,-10.13,41.38,0.18
20,0.36,-0.89,0.23,-9.28,40.83,0.06
30,0.35,-0.89,0.23,-8.67,40.34,0.06
40,0.35,-0.89,0.23,-8.24,40.59,-0.18
50,0.35,-0.89,0.22,-7.93,41.87,-0.49
60,0.35,-0.90,0.21,-8.12,47.49,-0.79
70,0.37,-0.90,0.20,-8.54,51.27,-0.85
80,0.39,-0.91,0.19,-8.91,54.93,-0.55
90,0.42,-0.92,0.19,-9.09,57.80,0.06
100,0.45,-0.91,0.19,-9.70,59.63,1.10
110,0.49,-0.91,0.19,-10.13,57.80,2.93
120,0.52,-0.90,0.19,-10.01,53.47,3.97
130,0.51,-0.89,0.19,-10.25,47.85,4.76
140,0.51,-0.89,0.18,-10.01,41.99,5.62
150,0.50,-0.88,0.18,-9.64,35.95,6.65
160,0.45,-0.89,0.17,-9.28,26.55,8.12
170,0.43,-0.89,0.16,-8.97,24.48,7.75
180,0.41,-0.90,0.16,-9.03,24.11,7.08
190,0.40,-0.91,0.17,-9.16,24.96,6.04
200,0.39,-0.92,0.17,-9.40,26.55,4.94
210,0.39,-0.94,0.17,-9.95,30.46,2.56
220,0.39,-0.94,0.16,-10.31,32.23,0.98
230,0.40,-0.93,0.16,-10.68,33.14,-0.43
240,0.40,-0.92,0.15,-11.11,34.00,-1.65
250,0.40,-0.92,0.15,-11.17,34.12,-2.75
260,0.41,-0.90,0.15,-11.78,33.14,-4.39
270,0.41,-0.89,0.15,-11.90,32.29,-4.70
280,0.42,-0.89,0.15,-11.60,31.80,-4.82
290,0.42,-0.88,0.15,-11.11,31.37,-4.94
300,0.42,-0.88,0.15,-10.68,31.25,-5.13
320,0.43,-0.90,0.16,-9.09,32.96,-5.19
330,0.43,-0.90,0.16,-8.91,33.69,-5.43
340,0.43,-0.91,0.15,-8.97,34.73,-5.74
350,0.44,-0.90,0.15,-9.46,36.13,-6.04
360,0.44,-0.89,0.15,-10.68,36.80,-6.35
370,0.45,-0.89,0.15,-11.17,37.11,-6.65
380,0.45,-0.88,0.15,-11.72,37.41,-6.90
390,0.45,-0.88,0.15,-12.27,37.84,-7.26
400,0.45,-0.88,0.15,-13.06,38.02,-7.26
410,0.45,-0.89,0.15,-13.37,38.64,-7.32
420,0.46,-0.89,0.15,-13.49,39.37,-7.45
430,0.45,-0.89,0.15,-13.85,39.67,-7.69
440,0.46,-0.89,0.15,-14.16,40.16,-7.81
450,0.46,-0.89,0.15,-14.40,41.08,-8.12
460,0.47,-0.90,0.15,-14.34,41.26,-8.24
470,0.47,-0.89,0.15,-14.59,41.38,-8.18
480,0.47,-0.89,0.15,-14.71,41.44,-8.24
490,0.48,-0.89,0.15,-14.59,41.32,-8.00
500,0.48,-0.88,0.15,-14.34,40.28,-7.57
510,0.49,-0.90,0.15,-14.10,40.10,-7.32
520,0.49,-0.91,0.16,-14.04,39.55,-7.08
530,0.49,-0.91,0.16,-14.34,38.82,-7.02
540,0.49,-0.92,0.16,-14.53,38.45,-6.96
550,0.49,-0.93,0.16,-15.38,38.33,-6.77
560,0.48,-0.93,0.15,-16.11,39.37,-6.77
570,0.48,-0.92,0.15,-16.66,40.83,-7.08
580,0.48,-0.91,0.15,-17.09,42.30,-6.96
590,0.48,-0.90,0.15,-17.70,43.52,-6.96
600,0.49,-0.88,0.15,-17.52,45.04,-6.65
610,0.50,-0.88,0.15,-16.97,44.80,-6.47
620,0.50,-0.88,0.15,-16.54,44.07,-6.47
630,0.51,-0.88,0.16,-15.93,42.66,-6.47
640,0.50,-0.88,0.16,-15.44,40.59,-6.53
660,0.49,-0.89,0.15,-14.83,35.03,-7.69
670,0.49,-0.89,0.15,-14.77,33.81,-8.18
680,0.48,-0.88,0.15,-14.83,33.14,-8.85
690,0.48,-0.88,0.15,-15.14,32.71,-9.64
710,0.48,-0.87,0.15,-15.14,33.51,-10.19
720,0.48,-0.88,0.14,-15.32,33.69,-10.25
730,0.49,-0.88,0.14,-15.26,33.75,-10.56
740,0.49,-0.89,0.14,-15.20,32.47,-11.05
750,0.49,-0.90,0.15,-14.95,31.56,-11.47
760,0.49,-0.91,0.15,-14.95,30.70,-11.72
770,0.49,-0.90,0.15,-15.08,29.79,-11.96
780,0.48,-0.91,0.14,-14.83,28.99,-12.21
790,0.48,-0.90,0.14,-14.95,27.83,-12.27
800,0.47,-0.89,0.14,-15.08,27.59,-12.27
810,0.47,-0.88,0.14,-15.01,27.34,-11.90
820,0.47,-0.87,0.14,-14.59,27.10,-11.78
830,0.47,-0.87,0.15,-14.34,26.79,-11.66
840,0.47,-0.86,0.15,-13.43,25.02,-11.41
850,0.47,-0.88,0.15,-13.06,24.29,-11.72
860,0.46,-0.90,0.16,-12.82,23.38,-11.78
870,0.46,-0.91,0.16,-13.18,22.89,-12.27
880,0.45,-0.92,0.17,-13.73,22.40,-12.88
890,0.45,-0.93,0.17,-15.50,22.58,-13.73
900,0.44,-0.93,0.16,-16.42,23.38,-14.10
910,0.44,-0.94,0.17,-17.40,24.48,-14.40
920,0.43,-0.95,0.17,-18.19,25.33,-14.47
930,0.43,-0.96,0.18,-19.17,26.49,-14.59
940,0.46,-0.96,0.19,-20.51,28.44,-14.22
950,0.44,-0.96,0.20,-21.12,28.38,-13.92
960,0.44,-0.96,0.19,-21.61,28.38,-13.67
970,0.44,-0.96,0.19,-21.97,27.83,-13.55
980,0.43,-0.97,0.19,-21.91,27.04,-13.49
990,0.43,-0.98,0.19,-21.91,25.63,-13.92
1000,0.43,-0.98,0.19,-22.22,24.90,-14.53
1010,0.42,-0.97,0.19,-22.40,23.68,-14.89
1020,0.42,-0.97,0.20,-22.46,22.77,-15.32
1030,0.41,-0.97,0.20,-22.22,22.09,-31.25
1040,0.41,-0.95,0.19,-22.16,20.87,-16.30
1050,0.41,-0.95,0.19,-21.97,20.32,-16.30
1060,0.41,-0.95,0.19,-21.85,19.78,-16.24
1070,0.41,-0.94,0.19,-21.79,18.98,-16.24
1080,0.40,-0.94,0.19,-21.73,18.19,-15.81
1100,0.39,-0.94,0.20,-22.09,16.42,-15.26
1110,0.38,-0.95,0.20,-22.34,16.36,-14.83
1120,0.38,-0.95,0.20,-22.83,16.91,-14.34
1130,0.37,-0.95,0.20,-23.25,18.98,-14.04
1140,0.38,-0.95,0.20,-24.41,19.90,-13.67
1150,0.38,-0.96,0.21,-24.84,20.69,-13.43
