timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.33,0.89,0.01,-11.72,-109.50,-19.78
10,0.34,0.90,0.03,-11.60,-107.97,-19.53
20,0.33,0.91,0.03,-11.54,-107.79,-18.55
30,0.31,0.93,0.03,-10.68,-106.51,-16.42
40,0.26,0.95,0.02,-10.31,-104.31,-15.44
50,0.23,0.96,0.01,-10.13,-101.38,-14.59
60,0.20,0.96,0.01,-9.89,-96.98,-13.79
70,0.20,0.97,0.03,-9.77,-91.31,-13.18
80,0.24,0.97,0.07,-9.77,-81.48,-11.90
90,0.24,0.97,0.09,-9.28,-78.55,-10.62
100,0.24,0.96,0.10,-8.85,-76.48,-9.09
110,0.24,0.96,0.11,-8.36,-74.71,-7.75
120,0.23,0.96,0.12,-8.24,-73.55,-5.98
130,0.19,0.96,0.12,-8.12,-70.43,-3.54
140,0.16,0.96,0.11,-8.18,-67.87,-2.01
150,0.14,0.96,0.11,-8.61,-64.51,-0.73
160,0.13,0.96,0.11,-9.03,-60.79,0.43
170,0.12,0.96,0.12,-9.22,-56.70,2.14
190,0.11,0.95,0.14,-10.44,-44.86,2.44
200,0.11,0.95,0.14,-10.74,-41.14,2.56
210,0.12,0.94,0.14,-10.80,-38.02,2.81
220,0.12,0.93,0.13,-11.23,-33.02,4.21
230,0.12,0.93,0.12,-11.84,-30.64,5.07
240,0.12,0.93,0.12,-11.90,-28.32,5.92
250,0.13,0.92,0.13,-12.21,-26.86,6.84
260,0.13,0.92,0.13,-12.02,-25.45,7.69
270,0.13,0.93,0.14,-11.54,-24.96,10.19
280,0.12,0.94,0.13,-11.05,-24.66,11.29
290,0.10,0.94,0.13,-10.56,-24.48,12.15
300,0.08,0.94,0.12,-10.62,-23.44,13.00
310,0.06,0.94,0.11,-10.80,-21.42,13.49
320,0.05,0.94,0.11,-11.11,-14.16,14.10
330,0.03,0.94,0.10,-11.47,-9.89,14.10
340,0.03,0.94,0.10,-11.90,-5.80,14.04
350,0.03,0.95,0.10,-12.51,-2.32,14.16
360,0.04,0.95,0.12,-12.82,0.73,14.47
370,0.05,0.95,0.15,-13.61,4.33,15.14
380,0.07,0.96,0.16,-13.67,4.70,15.32
390,0.06,0.96,0.16,-13.98,4.39,15.14
400,0.06,0.95,0.16,-13.85,4.09,14.71
410,0.06,0.96,0.16,-13.67,3.97,14.22
420,0.06,0.96,0.16,-12.63,4.39,13.31
430,0.06,0.96,0.15,-11.54,5.37,12.51
440,0.05,0.96,0.15,-10.19,6.77,11.66
450,0.06,0.95,0.15,-9.16,8.97,10.80
460,0.07,0.95,0.15,-8.24,11.17,9.95
470,0.09,0.96,0.16,-6.77,15.14,8.85
480,0.09,0.96,0.16,-5.92,16.72,8.67
490,0.10,0.96,0.15,-5.31,17.70,8.67
500,0.10,0.95,0.14,-4.82,18.55,8.79
510,0.09,0.95,0.13,-4.33,19.35,9.03
520,0.07,0.95,0.12,-4.39,21.91,9.16
530,0.06,0.94,0.11,-4.27,24.35,9.46
540,0.05,0.93,0.10,-4.21,27.65,9.58
550,0.04,0.93,0.09,-4.21,31.25,9.58
560,0.04,0.93,0.09,-4.15,35.16,9.40
580,0.04,0.94,0.08,-3.66,45.96,9.40
590,0.05,0.94,0.07,-3.54,48.46,9.22
600,0.06,0.95,0.06,-3.36,50.60,8.97
610,0.05,0.96,0.05,-2.99,53.59,8.54
620,0.06,0.97,0.05,-1.34,55.18,8.61
630,0.06,0.98,0.05,-0.55,57.37,8.79
640,0.06,0.98,0.05,0.55,59.51,9.03
650,0.07,0.99,0.04,1.40,61.65,9.16
660,0.07,0.99,0.04,3.36,66.22,9.70
670,0.06,1.00,0.04,4.33,68.79,9.89
680,0.06,1.00,0.04,5.07,72.14,10.01
690,0.07,1.00,0.05,5.80,75.38,10.13
700,0.08,1.00,0.05,6.16,78.43,10.44
710,0.09,1.00,0.05,6.10,81.91,10.93
720,0.09,1.00,0.04,5.98,83.56,10.93
730,0.09,1.00,0.04,5.80,85.45,10.62
740,0.09,1.00,0.03,5.80,87.22,10.07
750,0.08,1.01,0.01,6.29,89.48,9.52
760,0.07,1.00,-0.02,7.51,95.09,6.90
770,0.07,1.00,-0.04,8.42,98.75,5.43
780,0.08,0.99,-0.06,9.70,102.60,3.91
790,0.09,1.00,-0.08,10.99,106.38,2.44
800,0.10,0.98,-0.08,12.33,109.62,0.67
810,0.13,0.99,-0.08,13.79,112.24,0.55
820,0.17,0.99,-0.09,15.32,111.39,1.77
