timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.24,0.95,0.12,2.56,60.91,26.18
10,0.23,0.94,0.13,1.83,60.06,26.92
20,0.22,0.93,0.14,1.28,59.02,27.40
30,0.18,0.92,0.16,0.85,59.14,27.22
40,0.18,0.92,0.17,0.55,60.30,26.49
50,0.18,0.92,0.16,0.18,61.65,25.70
60,0.17,0.92,0.15,-0.06,62.87,24.84
70,0.16,0.92,0.14,-0.79,63.72,23.74
90,0.14,0.92,0.10,-2.69,66.59,20.45
100,0.15,0.91,0.10,-3.42,67.44,19.59
110,0.17,0.92,0.11,-4.27,67.57,18.92
120,0.18,0.92,0.11,-4.39,66.53,18.43
140,0.16,0.92,0.08,-3.42,61.95,18.01
150,0.15,0.93,0.07,-3.48,60.91,17.40
160,0.14,0.93,0.06,-3.42,60.24,16.54
170,0.13,0.94,0.05,-3.85,59.63,15.20
180,0.14,0.95,0.05,-4.64,58.53,15.01
190,0.14,0.96,0.05,-4.58,56.88,15.32
200,0.14,0.96,0.05,-4.52,55.36,15.87
210,0.12,0.96,0.04,-4.76,53.83,16.54
220,0.11,0.96,0.02,-5.13,52.92,17.03
230,0.10,0.99,-0.01,-5.86,52.92,16.97
240,0.10,0.99,-0.02,-6.35,52.86,16.54
250,0.11,0.99,-0.02,-6.59,52.43,16.30
260,0.12,1.00,-0.00,-6.71,50.84,16.30
270,0.13,0.99,0.01,-5.86,45.59,16.54
280,0.14,0.99,0.03,-4.88,42.54,16.97
290,0.12,0.99,0.03,-3.97,39.86,16.91
300,0.11,0.99,0.01,-3.17,38.51,16.48
310,0.11,0.98,-0.00,-2.56,37.96,15.93
320,0.10,0.98,-0.02,-1.95,37.90,14.47
330,0.12,0.96,-0.02,-1.71,37.41,13.67
340,0.12,0.96,-0.01,-1.53,36.44,13.55
350,0.12,0.95,0.00,-1.34,34.61,13.55
360,0.10,0.95,0.01,-0.85,33.20,13.18
370,0.08,0.96,0.00,-0.31,31.49,11.54
380,0.08,0.96,0.00,-0.43,31.19,10.44
390,0.09,0.96,0.00,-0.55,30.52,9.58
400,0.08,0.96,0.00,-0.79,28.99,8.79
410,0.08,0.96,0.01,-1.04,27.28,8.18
420,0.08,0.96,0.02,-1.28,23.86,8.24
430,0.07,0.96,0.02,-1.46,22.09,8.48
