timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.31,0.65,0.62,2.38,4.33,5.62
10,0.32,0.64,0.63,3.23,4.21,5.00
20,0.31,0.63,0.63,3.91,4.03,4.58
30,0.30,0.63,0.63,3.78,3.97,4.15
40,0.29,0.64,0.63,3.91,4.33,3.42
50,0.29,0.65,0.62,3.72,5.37,2.56
60,0.30,0.67,0.62,3.42,7.69,0.24
70,0.32,0.68,0.62,3.11,8.18,-0.92
80,0.33,0.68,0.62,2.81,8.18,-2.20
90,0.34,0.69,0.62,2.75,7.93,-2.93
100,0.35,0.69,0.62,2.56,7.75,-3.23
110,0.36,0.69,0.63,2.62,6.41,-3.60
120,0.36,0.68,0.64,2.50,5.80,-3.91
130,0.36,0.67,0.65,2.44,5.55,-3.97
140,0.37,0.67,0.66,2.56,5.43,-3.72
150,0.38,0.66,0.66,3.05,5.37,-3.30
160,0.38,0.66,0.66,3.66,4.70,-2.08
170,0.38,0.65,0.67,3.60,3.85,-0.85
180,0.39,0.64,0.67,4.15,3.17,0.37
190,0.39,0.64,0.68,4.09,2.08,1.77
200,0.38,0.64,0.68,3.85,0.55,3.42
210,0.36,0.63,0.67,3.30,-1.77,6.23
220,0.34,0.64,0.67,2.81,-2.38,7.02
230,0.33,0.65,0.66,2.01,-2.62,7.20
240,0.32,0.67,0.66,1.34,-2.62,7.08
250,0.32,0.67,0.66,0.92,-2.20,6.77
260,0.32,0.68,0.67,0.18,-1.65,4.76
270,0.32,0.67,0.67,-0.31,-1.40,3.36
280,0.32,0.67,0.67,-0.37,-0.79,1.89
290,0.31,0.67,0.67,-0.49,-0.06,0.67
300,0.32,0.67,0.67,-0.31,1.10,-0.24
320,0.31,0.67,0.67,-0.06,4.21,-0.61
330,0.31,0.68,0.67,0.67,5.37,0.43
340,0.31,0.68,0.67,1.71,6.59,2.01
350,0.31,0.69,0.68,2.62,6.65,5.80
370,0.30,0.77,0.70,6.35,2.69,9.64
380,0.31,0.80,0.70,8.12,1.34,11.41
390,0.32,0.82,0.69,9.52,-0.73,12.94
400,0.32,0.85,0.69,10.68,-6.71,14.34
410,0.29,0.92,0.68,12.76,-10.68,15.26
420,0.26,0.97,0.70,13.92,-14.10,16.60
430,0.24,1.03,0.71,14.71,-15.81,18.49
440,0.23,1.10,0.72,15.62,-16.42,20.63
450,0.22,1.18,0.70,16.66,-17.88,24.17
460,0.24,1.37,0.67,17.09,-20.08,25.27
470,0.25,1.47,0.63,17.27,-24.54,26.18
480,0.26,1.60,0.55,16.48,-31.74,27.10
490,0.17,1.73,0.37,14.89,-46.02,26.37
500,-0.06,1.88,0.17,10.50,-82.21,22.58
510,-0.49,2.21,-0.24,1.89,-90.03,17.03
520,-0.68,2.46,-0.38,-13.18,-93.26,8.54
530,-0.80,2.69,-0.56,-26.18,-94.24,-2.01
540,-0.80,2.79,-0.72,-28.93,-93.51,-16.66
550,-0.75,3.15,-0.67,-16.24,-91.00,-49.74
560,-0.52,3.08,-0.67,26.37,-95.89,-70.68
570,-0.38,2.70,-0.65,88.26,-112.92,-86.61
580,-0.43,2.14,-0.66,147.22,-146.97,-91.43
590,-0.55,1.64,-0.55,192.32,-187.93,-87.46
600,-0.52,0.52,-0.21,287.17,-238.10,-89.66
610,-0.30,-0.15,0.01,338.50,-263.49,-96.44
620,-0.06,-0.65,0.16,392.15,-296.81,-91.43
630,-0.17,-1.33,-0.02,468.69,-328.31,-81.36
640,-0.67,-2.56,0.19,558.29,-333.31,-65.37
650,-0.88,-4.00,0.48,747.99,-144.41,-11.60
660,1.79,-4.00,-0.12,619.20,-6.65,-5.98
670,1.91,-4.00,1.05,282.78,32.65,-87.16
680,0.98,-3.61,1.21,156.56,67.87,-242.74
690,1.22,-2.31,1.29,98.27,95.28,-33.20
700,0.94,-1.41,0.98,-34.12,77.33,37.05
710,0.33,-1.63,0.86,-82.15,51.51,87.22
720,-0.32,-1.86,0.75,-122.13,48.46,131.71
730,-0.43,-1.82,0.61,-165.65,80.02,156.68
740,-0.37,-1.71,0.60,-201.23,150.33,170.10
760,-0.20,-1.28,0.70,-213.56,163.45,189.09
770,-0.21,-1.17,0.66,-196.78,163.88,179.75
780,-0.10,-0.97,0.59,-179.32,163.64,163.64
790,0.03,-0.76,0.50,-126.16,141.72,154.91
800,0.50,-0.74,0.41,-125.06,90.15,155.76
810,0.14,-0.65,0.50,-129.33,29.05,145.08
820,-0.12,-0.39,0.62,-139.10,-10.56,117.37
830,-0.30,-0.04,0.70,-148.50,-25.45,88.62
840,-0.38,0.31,0.80,-141.48,-9.95,52.31
850,-0.55,0.78,1.00,-128.42,6.23,39.49
860,-0.49,0.87,1.06,-111.94,28.93,32.47
870,-0.36,0.91,1.08,-94.54,51.51,32.35
880,-0.22,0.83,1.08,-81.42,69.27,31.07
890,-0.08,0.70,1.05,-80.26,73.91,2.69
900,0.13,0.77,0.84,-84.29,69.27,0.12
910,0.18,0.87,0.72,-88.44,63.42,0.98
920,0.20,0.89,0.68,-90.58,55.79,-2.75
930,0.21,1.02,0.69,-91.55,49.01,-16.24
940,0.21,1.07,0.80,-80.51,46.63,-24.90
950,0.19,1.05,0.85,-73.85,45.35,-28.44
960,0.16,1.05,0.88,-67.44,46.08,-31.62
970,0.17,1.04,0.89,-61.95,48.03,-33.57
980,0.15,1.05,0.86,-57.07,51.70,-32.29
990,0.18,1.10,0.78,-46.26,58.11,-23.01
1000,0.21,1.11,0.76,-39.67,59.33,-17.40
1010,0.27,1.09,0.79,-32.65,57.50,-11.90
1020,0.35,1.03,0.83,-25.51,51.57,-7.02
1030,0.40,0.95,0.86,-18.86,43.15,-3.48
1040,0.35,0.85,0.89,-13.00,23.68,2.99
1050,0.33,0.81,0.87,-12.51,16.97,4.21
1060,0.29,0.79,0.82,-13.67,12.82,4.76
1070,0.25,0.78,0.77,-16.24,10.07,4.76
1080,0.23,0.77,0.72,-18.43,9.95,4.03
1100,0.24,0.76,0.65,-25.21,27.89,4.46
1110,0.22,0.76,0.65,-25.57,32.96,6.59
1120,0.20,0.73,0.66,-23.74,34.30,7.32
1130,0.18,0.73,0.65,-22.64,33.87,10.68
1150,0.12,0.69,0.61,-18.55,34.91,5.80
