timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.29,0.63,0.62,-1.10,4.39,7.26
10,0.31,0.62,0.61,-2.26,5.86,6.90
20,0.32,0.61,0.61,-3.23,6.04,6.65
30,0.32,0.61,0.61,-3.54,5.00,6.65
40,0.31,0.60,0.61,-3.60,4.27,6.53
50,0.29,0.60,0.61,-3.48,3.42,6.35
60,0.27,0.60,0.61,-3.42,2.81,5.13
80,0.25,0.61,0.59,-2.14,3.54,2.99
90,0.24,0.61,0.59,-1.65,3.97,1.89
100,0.24,0.62,0.59,-1.40,4.03,0.43
110,0.24,0.62,0.59,-1.16,3.60,-2.26
120,0.25,0.63,0.61,-0.98,3.05,-3.36
130,0.26,0.64,0.63,-1.04,2.01,-4.52
140,0.26,0.65,0.65,-1.34,0.24,-5.07
150,0.25,0.67,0.66,-1.65,-1.40,-5.43
160,0.24,0.68,0.67,-2.01,-3.36,-6.35
170,0.23,0.71,0.67,-2.32,-3.54,-6.84
180,0.24,0.72,0.67,-2.75,-3.48,-7.51
190,0.25,0.73,0.67,-2.69,-2.99,-8.00
200,0.25,0.73,0.68,-2.69,-2.56,-8.36
210,0.26,0.73,0.69,-2.81,-1.59,-8.91
220,0.26,0.74,0.72,-2.75,-1.34,-9.16
230,0.26,0.73,0.74,-2.44,-1.22,-9.09
240,0.27,0.73,0.75,-1.77,-0.92,-8.73
250,0.27,0.73,0.75,-1.77,-0.61,-8.24
260,0.26,0.73,0.75,-1.53,0.31,-6.23
270,0.26,0.73,0.74,-1.28,0.92,-5.31
280,0.26,0.72,0.74,-1.10,0.98,-4.33
290,0.26,0.72,0.74,-0.79,0.55,-2.38
300,0.25,0.71,0.74,-0.31,-0.24,-0.18
310,0.25,0.69,0.75,-0.18,-3.11,3.36
320,0.25,0.68,0.74,-0.31,-4.46,4.88
330,0.24,0.67,0.73,-0.37,-5.62,5.68
340,0.23,0.65,0.73,-0.43,-6.65,5.80
350,0.24,0.63,0.73,-0.61,-7.51,5.55
360,0.22,0.60,0.73,-1.16,-8.85,4.15
370,0.20,0.59,0.73,-1.16,-8.67,3.54
380,0.19,0.58,0.73,-1.28,-7.69,2.87
390,0.19,0.57,0.72,-0.98,-5.98,2.32
400,0.19,0.57,0.71,-0.92,-4.46,1.83
410,0.18,0.60,0.71,-1.10,-1.53,0.61
420,0.18,0.61,0.71,-0.49,-0.43,0.18
430,0.19,0.64,0.71,0.31,-0.31,-0.06
440,0.20,0.67,0.72,1.04,-1.28,-0.18
450,0.19,0.70,0.72,2.32,-2.93,0.12
470,0.16,0.78,0.71,8.42,-9.03,1.22
480,0.14,0.80,0.71,10.62,-12.27,2.26
490,0.11,0.83,0.71,13.12,-14.95,3.42
500,0.09,0.87,0.71,15.75,-19.29,5.19
510,0.08,0.95,0.72,21.06,-22.09,5.74
520,0.09,0.99,0.71,23.80,-25.82,6.35
530,0.10,1.04,0.71,26.43,-29.36,7.08
540,0.11,1.11,0.71,28.93,-32.65,7.81
550,0.10,1.17,0.71,34.85,-38.88,11.17
560,0.05,1.24,0.70,38.76,-41.50,14.53
570,0.02,1.25,0.68,43.33,-43.33,18.49
580,-0.01,1.26,0.66,47.00,-44.62,22.09
590,-0.05,1.30,0.64,48.95,-45.47,24.35
600,-0.08,1.36,0.60,50.96,-45.96,25.88
610,-0.08,1.50,0.48,51.64,-46.57,25.57
620,-0.11,1.54,0.39,52.55,-49.07,23.74
630,-0.11,1.58,0.31,53.10,-53.59,20.69
640,-0.13,1.65,0.23,52.31,-59.45,15.08
650,-0.18,1.77,0.06,46.75,-76.17,0.24
660,-0.32,2.13,-0.00,44.98,-83.74,-10.68
670,-0.36,2.23,-0.11,48.83,-87.83,-21.42
680,-0.39,2.30,-0.22,56.21,-90.27,-29.24
690,-0.39,2.39,-0.30,70.62,-91.00,-33.63
700,-0.35,1.95,-0.44,134.09,-96.44,-41.87
710,-0.38,1.50,-0.47,172.00,-104.55,-45.10
720,-0.45,1.00,-0.45,206.54,-115.97,-50.54
730,-0.60,0.56,-0.34,237.00,-130.37,-61.77
740,-0.78,0.19,-0.23,266.48,-146.67,-76.29
750,-0.99,-0.69,0.46,367.07,-162.96,-100.59
760,-1.03,-1.80,0.85,452.21,-142.46,-109.86
770,-0.95,-3.30,1.02,537.72,-96.98,-124.76
780,-0.66,-4.00,1.24,577.27,-13.24,-113.89
790,1.69,-4.00,0.32,529.48,61.10,-91.92
800,1.60,-4.00,0.53,195.07,42.79,-210.51
810,1.54,-3.24,0.54,94.73,35.95,-148.80
820,1.34,-1.91,0.36,0.98,37.41,7.39
830,0.63,-2.14,0.37,-35.28,35.28,102.72
840,0.14,-2.40,0.58,-74.52,65.25,178.47
860,0.03,-1.71,0.87,-227.66,98.94,154.66
870,-0.26,-1.37,0.97,-245.30,81.30,146.06
880,-0.63,-1.12,1.02,-243.96,74.22,143.55
890,-0.64,-0.95,1.00,-212.83,121.64,137.63
900,-0.18,-0.63,0.73,-191.59,138.98,131.41
910,-0.02,-0.43,0.65,-176.70,141.91,124.63
920,0.09,-0.34,0.63,-161.80,124.82,120.00
930,0.14,-0.21,0.68,-154.48,101.50,116.88
940,0.14,-0.06,0.74,-153.99,46.20,97.17
950,-0.06,0.30,0.92,-156.31,27.77,85.88
960,-0.12,0.56,0.95,-158.14,18.07,76.90
970,-0.16,0.86,0.91,-156.01,16.05,68.60
980,-0.14,1.11,0.90,-146.12,18.55,56.52
990,-0.19,1.15,0.89,-107.60,29.66,39.43
1000,-0.15,1.16,0.92,-92.90,38.64,39.00
1010,-0.13,1.06,0.95,-79.28,44.62,37.72
1020,-0.14,0.95,0.94,-68.12,48.03,35.71
1030,-0.12,0.92,0.89,-63.96,49.44,30.15
1040,-0.06,1.05,0.79,-64.03,42.97,20.87
1050,0.06,1.20,0.77,-58.04,38.51,19.41
1060,0.12,1.21,0.75,-52.06,35.34,15.69
1070,0.14,1.19,0.76,-45.84,31.86,9.22
1080,0.09,1.10,0.77,-41.02,27.65,1.16
1090,0.12,1.03,0.83,-32.78,19.53,-7.57
1100,0.04,0.94,0.89,-28.56,14.10,-4.58
1110,0.03,0.89,0.92,-27.04,11.54,-3.36
1120,0.05,0.90,0.92,-27.16,11.17,-2.93
1130,0.05,0.91,0.89,-27.16,10.50,-3.36
1140,0.17,0.85,0.85,-24.90,0.98,-2.26
1150,0.19,0.80,0.85,-24.84,-7.20,-1.65
