timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.33,0.55,0.06,-10.62,30.15,-22.95
10,0.32,0.54,0.06,-12.88,31.01,-26.55
20,0.31,0.53,0.06,-15.01,30.94,-30.33
30,0.29,0.52,0.06,-16.78,31.19,-34.18
40,0.27,0.50,0.05,-19.17,31.98,-38.64
50,0.26,0.49,0.04,-24.35,34.30,-48.83
60,0.25,0.47,0.03,-26.67,36.13,-54.87
70,0.24,0.45,0.02,-28.99,38.51,-61.52
80,0.24,0.42,-0.00,-31.49,42.05,-68.36
90,0.27,0.39,-0.02,-34.42,47.18,-91.00
100,0.29,0.36,-0.05,-41.99,53.65,-89.05
110,0.29,0.34,-0.07,-46.57,54.99,-97.35
120,0.30,0.35,-0.08,-51.57,57.43,-104.74
130,0.32,0.36,-0.09,-56.09,60.55,-108.40
140,0.36,0.42,-0.10,-58.90,63.42,-104.25
160,0.56,0.31,-0.04,-66.59,62.68,-117.31
170,0.59,0.33,-0.03,-73.55,55.73,-119.26
180,0.61,0.37,-0.06,-79.22,46.94,-121.03
190,0.63,0.47,-0.09,-83.31,32.47,-113.89
200,0.49,0.41,-0.21,-81.54,27.10,-117.86
210,0.42,0.44,-0.29,-84.05,31.68,-122.07
220,0.36,0.49,-0.33,-86.06,43.82,-123.66
230,0.29,0.55,-0.40,-87.40,60.36,-127.44
240,0.19,0.63,-0.46,-92.41,117.00,-132.20
250,0.28,0.77,-0.59,-91.37,149.66,-133.18
260,0.51,0.85,-0.68,-90.88,174.62,-137.45
270,0.80,0.94,-0.77,-91.43,185.00,-139.89
280,0.98,1.06,-0.88,-92.22,178.41,-136.35
290,1.06,1.21,-0.95,-90.09,143.80,-118.53
300,1.01,1.53,-1.17,-82.95,130.25,-114.01
310,0.95,1.64,-1.31,-71.53,123.47,-112.49
320,0.93,1.76,-1.44,-58.23,124.33,-110.84
330,0.97,1.90,-1.57,-43.27,133.85,-106.81
340,1.03,2.14,-1.82,7.63,166.08,-75.87
350,1.24,2.08,-1.84,31.49,176.88,-82.03
360,1.43,2.15,-1.94,62.56,166.87,-67.50
370,1.37,2.04,-1.93,93.93,162.41,-33.51
380,1.27,2.02,-1.97,119.26,157.78,-31.92
390,1.56,2.08,-2.13,172.06,147.64,-21.73
400,1.66,1.95,-2.16,203.55,133.48,-9.52
410,1.66,1.92,-2.24,231.75,117.00,8.30
420,1.69,1.82,-2.34,257.69,104.06,28.69
430,1.74,1.68,-2.42,283.81,98.75,45.72
440,2.09,1.32,-2.54,321.72,102.42,72.14
450,2.27,1.07,-2.56,334.66,102.78,81.12
460,2.42,0.83,-2.55,339.78,98.02,83.68
470,2.53,0.64,-2.57,340.64,85.51,83.74
480,2.56,0.51,-2.60,343.57,68.24,93.87
490,2.32,0.18,-2.56,374.15,40.53,182.56
500,2.02,-0.21,-2.50,392.46,36.19,224.73
510,1.89,-0.49,-2.39,397.77,39.25,242.25
520,1.73,-0.73,-2.14,394.65,42.30,244.51
530,1.60,-0.94,-1.82,388.06,44.31,239.99
550,1.09,-1.69,-1.00,338.26,10.19,216.55
560,0.70,-1.83,-0.77,306.40,-7.75,203.06
570,0.31,-1.88,-0.58,271.36,-16.11,196.41
580,-0.04,-1.99,-0.41,243.84,4.70,169.19
590,-0.27,-1.97,-0.06,187.99,22.03,146.73
600,-0.31,-1.90,0.12,155.09,34.55,121.77
610,-0.29,-1.68,0.27,118.77,39.92,94.48
620,-0.22,-1.40,0.38,85.14,37.05,63.48
630,-0.19,-1.20,0.45,34.06,1.65,-5.98
640,-0.17,-1.05,0.50,6.84,-20.57,-46.94
650,-0.18,-1.01,0.54,-27.95,-38.27,-94.73
660,-0.24,-0.91,0.55,-72.33,-43.52,-149.54
670,-0.19,-0.56,0.56,-116.15,-33.39,-198.49
680,-0.03,0.00,0.59,-134.77,-0.18,-181.34
690,0.56,0.66,0.52,-103.70,1.40,-125.92
700,0.61,0.49,0.41,-72.20,-7.63,-84.66
710,0.59,0.32,0.31,-63.66,-18.07,-66.71
720,0.61,0.35,0.18,-76.78,-25.02,-68.05
730,0.66,0.52,-0.12,-117.31,-26.49,-83.01
740,0.69,0.93,-0.23,-128.66,-22.89,-85.69
750,0.71,1.02,-0.32,-131.84,-17.88,-83.86
760,0.76,1.07,-0.37,-130.92,-12.63,-80.87
770,0.83,1.07,-0.39,-128.36,-10.93,-78.86
780,0.94,1.09,-0.46,-125.24,-20.69,-72.63
790,0.92,1.11,-0.51,-123.35,-30.09,-66.71
800,0.87,1.10,-0.57,-120.36,-39.61,-61.34
810,0.79,1.11,-0.63,-118.04,-47.24,-58.29
820,0.71,1.12,-0.68,-115.23,-51.70,-58.04
830,0.67,1.09,-0.69,-106.14,-47.42,-61.71
840,0.72,1.05,-0.66,-101.68,-44.13,-62.32
850,0.78,1.01,-0.62,-98.69,-44.31,-61.16
860,0.79,0.99,-0.58,-96.86,-49.38,-57.74
870,0.75,0.93,-0.56,-94.85,-57.56,-53.71
880,0.58,0.97,-0.58,-95.28,-67.57,-49.32
890,0.52,1.01,-0.60,-94.48,-66.41,-51.15
900,0.41,1.01,-0.57,-91.25,-63.54,-54.44
910,0.38,1.01,-0.54,-86.61,-55.48,-56.15
920,0.46,1.01,-0.48,-81.97,-43.46,-56.52
940,0.66,0.96,-0.32,-68.85,-39.55,-46.63
950,0.80,0.95,-0.27,-66.89,-47.12,-39.98
960,0.87,0.95,-0.25,-66.35,-62.01,-34.30
970,0.88,0.98,-0.27,-67.75,-101.50,-22.03
980,0.63,1.02,-0.35,-71.41,-115.60,-16.91
990,0.50,1.02,-0.39,-71.11,-120.73,-16.17
1000,0.28,1.02,-0.43,-69.09,-117.55,-19.17
1010,0.14,1.04,-0.46,-66.10,-101.20,-20.45
1020,0.17,1.03,-0.46,-55.30,-48.89,-25.63
1030,0.30,1.01,-0.39,-49.56,-26.00,-26.25
1040,0.50,1.00,-0.35,-44.31,-9.46,-25.70
1050,0.62,0.99,-0.34,-41.08,-4.58,-23.62
1060,0.68,0.99,-0.36,-38.51,-9.22,-19.65
